구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2022년03월14일,2270.94,2226.56,2189.68,2169.83,2125.24,2186.74,2229.15,2190.91,2158.15,2149.97,2204.72,2146.56,2137.56,2164.26,2176.24,2378.00,2217.50
2022년03월15일,2294.03,2240.56,2202.63,2196.70,2137.89,2197.15,2243.15,2205.17,2168.53,2168.31,2209.62,2154.09,2143.35,2174.70,2197.55,2375.14,2228.50
2022년03월16일,2300.86,2241.06,2206.71,2206.70,2148.11,2204.59,2242.35,2211.36,2166.76,2177.92,2217.68,2155.02,2140.46,2176.93,2202.80,2375.14,2231.00
2022년03월17일,2301.39,2241.18,2205.76,2209.03,2149.82,2204.59,2236.55,2212.08,2168.80,2183.86,2219.19,2156.21,2141.22,2172.47,2200.42,2375.14,2231.00
2022년03월18일,2299.32,2235.66,2205.44,2210.46,2150.71,2202.03,2236.05,2210.86,2170.15,2176.36,2210.68,2153.42,2150.93,2172.93,2197.00,2383.71,2231.00
2022년03월19일,2298.98,2233.84,2196.11,2212.57,2144.49,2199.60,2223.70,2210.82,2174.15,2175.67,2213.36,2147.60,2151.93,2169.90,2195.31,2386.57,2206.00
2022년03월20일,2298.56,2233.84,2196.11,2205.82,2145.60,2199.60,2212.42,2210.65,2174.23,2177.61,2215.49,2147.60,2151.68,2170.14,2202.07,2386.57,2206.00
2022년03월21일,2298.57,2232.88,2196.43,2211.63,2145.09,2199.60,2218.70,2210.31,2175.08,2178.72,2215.49,2147.60,2153.46,2170.86,2202.75,2386.57,2206.00
2022년03월22일,2294.42,2232.49,2196.75,2211.78,2145.82,2195.85,2217.20,2209.14,2175.78,2177.50,2217.62,2148.77,2153.46,2172.44,2203.42,2386.57,2206.00
2022년03월23일,2293.76,2232.88,2198.33,2210.30,2146.16,2195.60,2218.70,2208.82,2177.31,2177.22,2217.62,2150.86,2164.03,2173.09,2203.95,2371.33,2204.75
2022년03월24일,2291.34,2233.14,2199.97,2209.19,2149.67,2195.70,2213.70,2208.27,2170.71,2177.78,2218.89,2152.02,2158.17,2174.26,2201.98,2369.43,2204.75
2022년03월25일,2285.96,2232.90,2201.60,2205.11,2146.44,2195.70,2213.70,2206.27,2169.83,2177.81,2219.53,2152.95,2154.03,2177.05,2204.41,2369.43,2204.75
2022년03월26일,2283.19,2233.16,2198.03,2201.30,2147.58,2195.70,2209.95,2204.22,2169.41,2177.81,2219.96,2154.21,2154.03,2175.31,2205.67,2329.43,2212.25
2022년03월27일,2283.30,2232.64,2198.03,2201.44,2147.58,2198.90,2209.95,2204.13,2175.08,2179.16,2220.17,2152.95,2154.03,2176.26,2204.98,2329.43,2186.14
2022년03월28일,2284.85,2232.61,2198.03,2197.63,2147.44,2198.90,2208.95,2202.89,2174.58,2177.55,2219.53,2154.70,2146.68,2177.17,2206.79,2329.43,2212.25
2022년03월29일,2290.50,2231.26,2197.68,2197.20,2147.89,2198.38,2208.95,2204.29,2174.42,2177.55,2219.64,2156.09,2146.68,2177.05,2206.98,2329.43,2212.25
